Isolate,Location,Area,Country,Country_code,Type of site,Source,Host,MT
230-T21-SAfrica,"S&SW Cape (Bergriver, SA)",S&SW Cape_SAfrica,South Africa,RSA,,,,A1
226-C215-SAfrica,S&SW Cape,S&SW Cape_SAfrica,South Africa,RSA,,,Leucospermum cordifolium,A1
87-P3657-NewGuin,"Mankai, Bulolo","Mankai, Bulolo_PNG",PNG,PNG,Forest,Soil,Castanopsis,A1
227-C411-SAfrica,S&SW Cape,S&SW Cape_SAfrica,South Africa,RSA,,,Pinus radiata,A2
90-P15821-NewGuin,Mount Kaidu,Mount Kaidu_PNG,PNG,PNG,Forest,Soil,?,A1
153-TW237-STaiw,"Hengchun peninsula, site F25",S_Taiwan,Taiwan,TWN,Forest,Soil,Castanopsis faberi,A1
138-TW203-STaiw,"Hengchun peninsula, site F24",S_Taiwan,Taiwan,TWN,Forest,Soil,Quercus championii,A1
139-TW206-STaiw,"Hengchun peninsula, site F24",S_Taiwan,Taiwan,TWN,Forest,Soil,Quercus championii,A1
140-TW207-STaiw,"Hengchun peninsula, site F24",S_Taiwan,Taiwan,TWN,Forest,Soil,Quercus championii,A1
141-TW210-STaiw,"Hengchun peninsula, site F24",S_Taiwan,Taiwan,TWN,Forest,Soil,Quercus championii,A2_Homothallic
142-TW212-STaiw,"Hengchun peninsula, site F24",S_Taiwan,Taiwan,TWN,Forest,Soil,Quercus championii,A2_Homothallic
143-TW213-STaiw,"Hengchun peninsula, site F24",S_Taiwan,Taiwan,TWN,Forest,Soil,Quercus championii,A2_Homothallic
144-TW215-STaiw,"Hengchun peninsula, site F24",S_Taiwan,Taiwan,TWN,Forest,Soil,Quercus longinux,A1
145-TW217-STaiw,"Hengchun peninsula, site F24",S_Taiwan,Taiwan,TWN,Forest,Soil,Quercus longinux,A1
146-TW221-STaiw,"Hengchun peninsula, site F25",S_Taiwan,Taiwan,TWN,Forest,Soil,Castanopsis faberi,A1
147-TW224-STaiw,"Hengchun peninsula, site F25",S_Taiwan,Taiwan,TWN,Forest,Soil,Castanopsis faberi,A2_Homothallic
149-TW226-STaiw,"Hengchun peninsula, site F25",S_Taiwan,Taiwan,TWN,Forest,Soil,Castanopsis faberi,A1
150-TW227-STaiw,"Hengchun peninsula, site F25",S_Taiwan,Taiwan,TWN,Forest,Soil,Castanopsis faberi,A2_Homothallic
151-TW231-STaiw,"Hengchun peninsula, site F25",S_Taiwan,Taiwan,TWN,Forest,Soil,Castanopsis faberi,A1
82-CIN-9-DomRep_Rep2,Los Montones,Los Montones_DomRep,Dominican Republic,DOMREP,Forest,Soil,Pinus occidentalis,A2
154-TW253-centTaiw,"Lenhuachih, site F15",Cent_Taiwan,Taiwan,TWN,Forest,Soil,Castanopsis uraiana,A2
155-TW261-CentTaiw,"Lenhuachih, site F15",Cent_Taiwan,Taiwan,TWN,Forest,Soil,Machilus kusanoi,A1
156-TW262-CentTaiw,"Lenhuachih, site F15",Cent_Taiwan,Taiwan,TWN,Forest,Soil,Machilus kusanoi,A1
157-TW265-CentTaiw,"Lenhuachih, site F15",Cent_Taiwan,Taiwan,TWN,Forest,Soil,Machilus kusanoi,A2
